title,title_pt,author,abstract,abstract_pt
Empirical Analysis of Artificial Immune System Algorithms for Aging Related Bug Prediction,Análise empírica de algoritmos de sistema imunológico artificial para previsão de bugs relacionados ao envelhecimento,"Khanna, Megha and Aggarwal, Mehak and Singhal, Naman","The complex nature of human immunology algorithms has motivated the research community to explore their practical applications in various other fields. As a result, Artificial Immune Systems (AISs) is one such class of algorithms that has found its way into software quality predictive modeling. In this paper, we evaluate AIS algorithms for developing Aging-Related Bug (ARB) prediction models. Software Aging, the gradual degradation and resource exhaustion in software systems, is said to be caused by ARBs, which may or may not be identified during software testing. Therefore, predicting ARBs before software release can help software managers in reducing their impact. This paper presents an empirical study that statistically analyzes the effectiveness of AIS classifiers for ARB prediction on five open-source software datasets. In order to account for the imbalanced nature of the investigated datasets, we used resampling and cost-sensitive classifiers. The results of the study indicate the effectiveness of AIS algorithms for developing ARB prediction models.","A natureza complexa dos algoritmos de imunologia humana motivou a comunidade científica a explorar as suas aplicações práticas em vários outros campos. Como resultado, os Sistemas Imunológicos Artificiais (AISs) são uma dessas classes de algoritmos que encontraram seu caminho na modelagem preditiva de qualidade de software. Neste artigo, avaliamos algoritmos AIS para o desenvolvimento de modelos de predição de Bugs Relacionados ao Envelhecimento (ARB). Diz-se que o envelhecimento do software, a degradação gradual e o esgotamento de recursos em sistemas de software, é causado por ARBs, que podem ou não ser identificados durante os testes de software. Portanto, prever ARBs antes do lançamento do software pode ajudar os gerentes de software a reduzir seu impacto. Este artigo apresenta um estudo empírico que analisa estatisticamente a eficácia dos classificadores AIS para previsão de ARB em cinco conjuntos de dados de software de código aberto. Para dar conta da natureza desequilibrada dos conjuntos de dados investigados, utilizamos reamostragem e classificadores sensíveis ao custo. Os resultados do estudo indicam a eficácia dos algoritmos AIS no desenvolvimento de modelos de predição ARB."
Hybrid Software Obsolescence Evaluation Model Based on PCA-SVM-GridSearchCV,Modelo de avaliação de obsolescência de software híbrido baseado em PCA-SVM-GridSearchCV,"Shuai, Yong and Zheng, Yujie and Huang, Hao","For the sake of establishing an accurate software obsolescence evaluation model scientifically and systematically, this paper points out the mechanism and definition of software obsolescence. By the way of analyzing software obsolescence mechanism, 20 software obsolescence correlative characteristic parameters are collected, preprocessed and scaled by RobustScaler, and then PCA is used to extract feature and reduce dimension, eliminate the noise value in the feature data and select important software obsolete feature data. Use GridSearchCV class to optimize support vector machine parameters and build SVM classification model, use confusion matrix accuracy to evaluate the machine model, finally the example verify the evaluation model to be believable and effective.","Com o objetivo de estabelecer um modelo preciso de avaliação de obsolescência de software de forma científica e sistemática, este artigo aponta o mecanismo e a definição de obsolescência de software. A propósito da análise do mecanismo de obsolescência de software, 20 parâmetros de características correlativas de obsolescência de software são coletados, pré-processados ​​​​e dimensionados pelo RobustScaler e, em seguida, o PCA é usado para extrair recursos e reduzir dimensões, eliminar o valor de ruído nos dados de recursos e selecionar dados importantes de recursos obsoletos de software. Use a classe GridSearchCV para otimizar os parâmetros da máquina de vetores de suporte e construir o modelo de classificação SVM, use a precisão da matriz de confusão para avaliar o modelo da máquina e, finalmente, o exemplo verifica se o modelo de avaliação é confiável e eficaz."
Improving Statistical Approach for Memory Leak Detection Using Machine Learning,Melhorando a abordagem estatística para detecção de vazamento de memória usando aprendizado de máquina,"Sor, Vladimir and Oü, Plumbr and Treier, Tarvo and Srirama, Satish Narayana","Memory leaks are major problems in all kinds of applications, depleting their performance, even if they run on platforms with automatic memory management, such as Java Virtual Machine. In addition, memory leaks contribute to software aging, increasing the complexity of software maintenance. So far memory leak detection was considered to be a part of development process, rather than part of software maintenance. To detect slow memory leaks as a part of quality assurance process or in production environments statistical approach for memory leak detection was implemented and deployed in a commercial tool called Plumbr. It showed promising results in terms of leak detection precision and recall, however, even better detection quality was desired. To achieve this improvement goal, classification algorithms were applied to the statistical data, which was gathered from customer environments where Plumbr was deployed. This paper presents the challenges which had to be solved, method that was used to generate features for supervised learning and the results of the corresponding experiments.","Vazamentos de memória são grandes problemas em todos os tipos de aplicações, esgotando seu desempenho, mesmo que sejam executadas em plataformas com gerenciamento automático de memória, como Java Virtual Machine. Além disso, os vazamentos de memória contribuem para o envelhecimento do software, aumentando a complexidade da manutenção do software. Até agora, a detecção de vazamento de memória era considerada parte do processo de desenvolvimento, e não da manutenção do software. Para detectar vazamentos lentos de memória como parte do processo de garantia de qualidade ou em ambientes de produção, uma abordagem estatística para detecção de vazamento de memória foi implementada e implantada em uma ferramenta comercial chamada Plumbr. Ele mostrou resultados promissores em termos de precisão e recall de detecção de vazamentos, no entanto, era desejada uma qualidade de detecção ainda melhor. Para atingir esse objetivo de melhoria, foram aplicados algoritmos de classificação aos dados estatísticos, coletados nos ambientes dos clientes onde o Plumbr foi implantado. Este artigo apresenta os desafios que tiveram que ser resolvidos, o método utilizado para gerar funcionalidades para aprendizagem supervisionada e os resultados dos experimentos correspondentes."
Aging-Related Bugs Prediction Via Convolutional Neural Network,Previsão de bugs relacionados ao envelhecimento por meio de rede neural convolucional,"Liu, Qinchen and Xiang, Jianwen and Xu, Bin and Zhao, Dongdong and Hu, Wenhua and Wang, Jian","Software aging refers to the phenomenon of system performance degradation or system crash in long-term running systems, which is mainly caused by Aging-Related Bugs (ARBs). To predict Aging-Related Bugs, previous studies usually focused on manually designing features, which extracted from the programs, and utilized different machine learning algorithms to detect those buggy codes. However, these traditional features often failed to distinguish programs' semantic differences.To explore deeply programs' semantics and make full use of these information, in this paper, we proposed a method, which based on deep learning method to automatically learn programs' semantic features of source codes. Specifically, we utilized Convolutional Neural Network (CNN) to automatically generate more distinguished features which based on the Abstract Syntax Trees (ASTs) of programs. Meanwhile, we combined these features with conventional aging-related metrics for more accurate ARB prediction. Finally, we evaluated our model on Linux and MySQL datasets, the experiment results showed that our approach was better than the baselines. The improvement can be achieved up to 6.9% on Linux, and 24.1% on MySQL in terms of balance, compared to traditional Naive Bayes method. And compared to Naive Bayes with logarithmic transformation, the improvement is 1% and 4.7% respectively.","O envelhecimento do software refere-se ao fenômeno de degradação do desempenho do sistema ou falha do sistema em sistemas em execução de longo prazo, que é causado principalmente por Bugs Relacionados ao Envelhecimento (ARBs). Para prever bugs relacionados ao envelhecimento, estudos anteriores geralmente se concentravam no design manual de recursos, extraídos dos programas, e utilizavam diferentes algoritmos de aprendizado de máquina para detectar esses códigos de bugs. No entanto, esses recursos tradicionais muitas vezes falham em distinguir as diferenças semânticas dos programas. Para explorar profundamente a semântica dos programas e fazer uso completo dessas informações, neste artigo, propusemos um método baseado no método de aprendizagem profunda para aprender automaticamente os recursos semânticos dos códigos-fonte dos programas. Especificamente, utilizamos Rede Neural Convolucional (CNN) para gerar automaticamente recursos mais distintos baseados nas Árvores de Sintaxe Abstrata (ASTs) de programas. Enquanto isso, combinamos esses recursos com métricas convencionais relacionadas ao envelhecimento para uma previsão ARB mais precisa. Finalmente, avaliamos nosso modelo em conjuntos de dados Linux e MySQL, os resultados do experimento mostraram que nossa abordagem era melhor do que as linhas de base. A melhoria pode ser alcançada em até 6,9% no Linux e 24,1% no MySQL em termos de equilíbrio, em comparação com o método tradicional Naive Bayes. E em comparação com Naive Bayes com transformação logarítmica, a melhoria é de 1% e 4,7% respectivamente."
On the Use of ADM to Contextualize Data on Legacy Source Code for Software Modernization,Sobre o uso de ADM para contextualizar dados em código-fonte legado para modernização de software,"Perez-Castillo, Ricardo and de Guzman, Ignacio Garcia-Rodriguez and Avila-Garcia, Orlando and Piattini, Mario","Legacy systems are usually made of two kind of artifacts: source code and databases. Typically, the maintenance of those systems is carried out through re-engineering processes. Although both artifacts can be independently maintained, for a more effective re-engineering of the whole system both should be analyzed and evolved jointly. This is mainly due to the fact that the knowledge expected to be extracted by analyzing both kind of artifacts at the same time is greater and richer than the one recovered by just looking at the system partly, and thus ROI and lifespan of the system are expected to improve. This paper proposes the data contextualization for recovering code-to-data linkages in legacy systems. This technique is framed in the ADM (architecture driven modernization) approach to modernization of legacy systems, considering all involved artifacts as models. This paper also presents a tool to support that technique throughout a real-life case study.","Os sistemas legados geralmente são compostos por dois tipos de artefatos: código-fonte e bancos de dados. Normalmente, a manutenção desses sistemas é realizada através de processos de reengenharia. Embora ambos os artefactos possam ser mantidos de forma independente, para uma reengenharia mais eficaz de todo o sistema, ambos devem ser analisados ​​e evoluídos em conjunto. Isto se deve principalmente ao fato de que o conhecimento que se espera extrair pela análise de ambos os tipos de artefatos ao mesmo tempo é maior e mais rico do que aquele recuperado apenas olhando parcialmente para o sistema e, portanto, espera-se que o ROI e a vida útil do sistema melhorem. Este artigo propõe a contextualização de dados para recuperar ligações código-dados em sistemas legados. Esta técnica está enquadrada na abordagem ADM (modernização dirigida por arquitetura) para modernização de sistemas legados, considerando todos os artefatos envolvidos como modelos. Este artigo também apresenta uma ferramenta para apoiar essa técnica em um estudo de caso real."
Requirements for an effective architecture recovery framework,Requisitos para uma estrutura eficaz de recuperação de arquitetura,"Mendon\c{c}a, Nabor C. and Kramer, Jeff",,#VALUE!
Taming compiler fuzzers,Domando fuzzers do compilador,"Chen, Yang and Groce, Alex and Zhang, Chaoqiang and Wong, Weng-Keen and Fern, Xiaoli and Eide, Eric and Regehr, John","Aggressive random testing tools (""fuzzers"") are impressively effective at finding compiler bugs. For example, a single test-case generator has resulted in more than 1,700 bugs reported for a single JavaScript engine. However, fuzzers can be frustrating to use: they indiscriminately and repeatedly find bugs that may not be severe enough to fix right away. Currently, users filter out undesirable test cases using ad hoc methods such as disallowing problematic features in tests and grepping test results. This paper formulates and addresses the fuzzer taming problem: given a potentially large number of random test cases that trigger failures, order them such that diverse, interesting test cases are highly ranked. Our evaluation shows our ability to solve the fuzzer taming problem for 3,799 test cases triggering 46 bugs in a C compiler and 2,603 test cases triggering 28 bugs in a JavaScript engine.","Ferramentas agressivas de testes aleatórios (""fuzzers"") são impressionantemente eficazes na localização de bugs do compilador. Por exemplo, um único gerador de casos de teste resultou em mais de 1.700 bugs relatados para um único mecanismo JavaScript. No entanto, o uso de fuzzers pode ser frustrante: eles encontram bugs indiscriminadamente e repetidamente que podem não ser graves o suficiente para serem corrigidos imediatamente. Atualmente, os usuários filtram casos de teste indesejáveis ​​usando métodos ad hoc, como proibir recursos problemáticos em testes e obter resultados de testes. Este artigo formula e aborda o problema de domesticação do fuzzer: dado um número potencialmente grande de casos de teste aleatórios que desencadeiam falhas, ordene-os de forma que casos de teste diversos e interessantes sejam altamente classificados. Nossa avaliação mostra nossa capacidade de resolver o problema de domesticação do fuzzer para 3.799 casos de teste que dispararam 46 bugs em um compilador C e 2.603 casos de teste que desencadearam 28 bugs em um mecanismo JavaScript."
Light analysis of complex systems,Análise leve de sistemas complexos,"Marchiori, Massimo",,#VALUE!
Reengineering of configurations based on mathematical concept analysis,Reengenharia de configurações com base na análise de conceitos matemáticos,"Snelting, Gregor",,#VALUE!
NSPW '23: Proceedings of the 2023 New Security Paradigms Workshop,NSPW '23: Procedimentos do Workshop de Novos Paradigmas de Segurança de 2023,,,#VALUE!
